Rk,Player,5 Best Seasons,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
175,Nick Young,1.51,2.29,2.07,1.16,1.12,0.88,0.83,0.56,0.31,0.02,-0.12,-0.17,,,,,,,,,,,
176,Gerald Wallace,1.50,1.72,1.59,1.49,1.41,1.31,0.53,0.33,-0.15,-0.34,,,,,,,,,,,,,
177,Channing Frye,1.49,2.23,1.81,1.31,1.24,0.87,0.83,0.82,0.41,0.13,0.02,-0.22,-0.65,-0.95,,,,,,,,,
178,Chris Duhon,1.49,3.17,1.70,0.95,0.89,0.72,0.46,0.40,0.17,,,,,,,,,,,,,,
179,Cameron Johnson,1.47,2.33,2.24,1.13,0.84,0.82,,,,,,,,,,,,,,,,,
180,Reggie Jackson,1.47,2.23,2.07,1.08,1.07,0.92,0.79,0.62,0.48,0.25,0.01,-0.16,-0.55,-0.57,,,,,,,,,
181,DeAndre Jordan,1.47,1.80,1.78,1.67,1.18,0.92,0.76,0.75,0.62,0.59,0.53,0.28,0.14,-0.09,-0.18,-0.60,-0.60,,,,,,
182,Patrick Beverley,1.47,1.74,1.59,1.38,1.35,1.26,1.24,1.14,0.85,0.46,0.30,-0.22,-1.67,,,,,,,,,,
183,Jodie Meeks,1.45,2.59,1.60,1.27,1.11,0.70,0.68,0.28,0.02,,,,,,,,,,,,,,
184,Ben Gordon,1.45,2.20,1.49,1.36,1.17,1.04,0.68,0.62,0.19,0.11,-1.02,,,,,,,,,,,,
185,Buddy Hield,1.44,2.24,1.84,1.42,0.92,0.80,0.72,0.14,0.10,,,,,,,,,,,,,,
186,T.J. McConnell,1.43,2.39,1.60,1.16,1.08,0.92,0.81,0.74,0.27,0.13,,,,,,,,,,,,,
187,Beno Udrih,1.42,2.51,1.57,1.40,0.85,0.77,0.56,0.41,0.17,0.16,-0.01,-0.21,-0.24,,,,,,,,,,
188,Carlos Boozer,1.41,1.83,1.39,1.37,1.25,1.23,0.16,-0.13,-0.27,-0.64,-1.53,,,,,,,,,,,,
189,DeMarcus Cousins,1.40,1.67,1.43,1.37,1.37,1.18,0.82,0.41,-0.01,-0.40,-0.82,-1.64,,,,,,,,,,,
190,Kirk Hinrich,1.39,2.43,1.50,1.25,0.89,0.89,0.55,0.43,0.29,0.09,-0.04,-0.29,,,,,,,,,,,
191,Randy Foye,1.39,1.94,1.68,1.34,1.19,0.81,0.51,0.23,0.21,0.09,-0.33,-0.36,,,,,,,,,,,
